text,label,cleaned_words,sentence_embedding
win a brand new car call now to claim your prize,1,"['win', 'brand', 'new', 'car', 'call', 'claim', 'prize']","[ 0.00052183  0.00046052 -0.00245368  0.00421575 -0.00031769 -0.00785668
 -0.00292717  0.00668789 -0.00118305 -0.0047425  -0.00177933 -0.00430015
  0.01101974  0.00081544 -0.00609027  0.00213786  0.00037809 -0.00357462
 -0.00389954 -0.01150736 -0.00130617  0.00582339  0.00198408 -0.00234011
  0.00353468 -0.00287558 -0.00035182 -0.00064018 -0.00398015  0.00120377
  0.00247726 -0.00245118  0.00907313  0.00721817 -0.00504894  0.00202345
  0.00048005 -0.00176835  0.00182626  0.00383386 -0.00468128  0.00740713
 -0.00383851  0.00575005  0.0039102   0.000283   -0.00325749  0.005301
  0.00490627  0.00319254]"
hey are we still on for dinner tonight,0,"['hey', 'still', 'dinner', 'tonight']","[-1.3001285e-02  3.9638206e-03  2.7046474e-03  1.5854674e-03
 -1.2354876e-03 -8.7850681e-04  1.2349407e-03 -4.5879860e-04
 -3.8649326e-03 -2.9206201e-03  1.0577840e-02 -4.8710578e-03
  8.8568032e-03  3.2111257e-04  8.4057655e-03  6.1026993e-03
 -5.6775538e-03 -1.0619094e-03 -1.2332985e-02 -3.9143246e-03
  2.0820608e-03  7.0089856e-03  1.1128793e-02  2.7432276e-03
 -1.7476431e-03  6.0650753e-05  8.1905434e-03 -1.7794741e-03
  1.6638816e-03 -4.6082032e-03  2.6517820e-03 -8.9757349e-03
 -8.1601450e-03  6.4540887e-03  1.6753840e-03  2.5411679e-03
  1.1457927e-02  2.3724793e-03 -1.9602589e-03 -6.9156522e-04
  7.6816522e-04  2.8955480e-03 -2.5702058e-03  1.3096889e-03
  2.1893368e-03  8.6456886e-04  4.8432681e-03 -4.5260396e-03
 -2.5125362e-03 -1.8067893e-03]"
congratulations you have won  click the link to claim,1,"['congratulation', 'click', 'link', 'claim']","[ 0.00806553 -0.00492695 -0.00452675 -0.00028699 -0.00425769  0.00489891
  0.00762063  0.00284916 -0.00689187 -0.00420794  0.00496484  0.00079075
  0.0136251   0.00048575  0.00523239 -0.00466668  0.00791943  0.01377288
 -0.00879325 -0.01741892  0.00123621 -0.00203511  0.00678802  0.00398356
  0.00337008  0.00075547 -0.00430824  0.00569083 -0.00578099  0.0040351
  0.00689933 -0.00015023  0.0013615  -0.00321658 -0.00880052 -0.00565124
 -0.00153634  0.0041005  -0.00437014 -0.00817345  0.00208736  0.00223962
 -0.00077151 -0.00254957  0.0140614   0.00956483 -0.00139223 -0.01464257
 -0.00398745 -0.00745766]"
reminder your appointment is scheduled for tomorrow,0,"['reminder', 'appointment', 'scheduled', 'tomorrow']","[-9.6276663e-03  6.0562324e-03 -9.9366345e-04 -7.2839437e-03
  5.8520399e-04 -4.1625598e-03  7.1043591e-04 -4.3872739e-03
 -7.9748007e-03  1.3349706e-03 -4.1564768e-03 -2.2983521e-03
 -7.9989117e-03 -7.1912576e-03 -6.4844107e-03 -5.0510657e-03
  8.3122100e-04  7.6149260e-03 -2.1480722e-03  1.6889584e-03
 -4.0400065e-03  2.9863664e-03  6.2956265e-03  5.4137600e-03
 -1.0932684e-03  2.5642512e-03  4.3290160e-03  2.2362496e-03
 -9.5333473e-04 -5.7001840e-03  1.4741779e-03 -6.2068719e-03
  2.9808229e-03 -6.5963170e-03 -2.4060828e-03 -1.5947754e-03
  9.0036821e-03  2.3619998e-03 -4.1168765e-03  7.4866693e-05
  8.5862111e-03 -9.1843968e-03 -3.9963140e-03  1.7106215e-03
  9.3126819e-03 -6.4199567e-03 -2.4584495e-04  2.6179580e-03
  2.9743009e-03  9.5435651e-04]"
urgent your bank account is at risk verify now,1,"['urgent', 'bank', 'account', 'risk', 'verify']","[ 1.0525371e-02  4.5129987e-03  8.5888142e-03  7.2846278e-03
 -5.3637447e-03 -2.1166967e-03 -8.6967554e-04  5.2637863e-03
 -3.1847362e-03 -6.9946856e-03 -4.1126274e-05  2.0304776e-03
 -3.6866777e-04 -8.9043227e-05 -2.7038150e-03 -6.2271161e-03
  8.8462904e-03 -1.4688072e-03 -4.7047422e-03 -6.4603807e-03
 -3.0991740e-03  4.9443392e-04  1.2477634e-03 -5.5257245e-03
 -5.6037446e-03  3.1403538e-03 -9.6238330e-03  1.2627633e-02
  3.3596852e-03  1.1954814e-02 -8.6547434e-03 -6.0496121e-03
  6.2802201e-03 -5.0935620e-03 -5.1258383e-03 -7.2865253e-03
 -4.3755197e-03 -9.3222056e-03 -8.4334398e-03 -1.1390478e-03
  2.7113589e-03 -7.0271338e-04  4.7756074e-04  2.8237328e-03
 -6.2418371e-03 -1.0363315e-02  2.6222211e-03 -1.6652703e-03
 -5.9410953e-03  8.2739498e-03]"
lets catch up soon its been a while,0,"['let', 'catch', 'soon']","[ 0.000287   -0.00152331  0.00240801  0.00847383  0.00331673  0.00294817
  0.00287683  0.00304375 -0.00317279 -0.00823745  0.00140294 -0.00119629
  0.00418368  0.00156205 -0.00248323  0.00632678  0.00035755  0.00555483
 -0.00280311 -0.00480732  0.0045784  -0.00061569 -0.00425049 -0.00108747
  0.00785895  0.00471533  0.00071612  0.00525105 -0.00955637  0.00091257
  0.00252478 -0.0084529  -0.00089867 -0.00456636 -0.0044037   0.01003369
  0.0084338   0.00885871  0.00448704  0.01272119  0.0030985  -0.003843
 -0.01133573  0.01093506  0.00141588 -0.00312137  0.00118078 -0.00484353
 -0.00261702  0.00328064]"
free entry to the lottery text win to  now,1,"['free', 'entry', 'lottery', 'text', 'win']","[-2.62332545e-03 -3.85679258e-03 -4.88838647e-03  6.52835122e-04
 -8.08424782e-03  4.23592422e-03  6.55219425e-03  2.82950397e-03
  2.88284710e-03 -5.25443908e-03  4.80831927e-03 -1.29900139e-03
  9.22493078e-03  5.60032669e-03 -6.18101656e-03  1.11518269e-02
  8.28025397e-03  2.50533572e-03 -1.21666882e-02 -3.76487267e-03
  5.07840142e-03  5.80149144e-03  5.78848785e-03 -1.28847931e-03
  4.36179325e-05  3.62623925e-03  3.10515962e-03  5.23935165e-03
 -7.05363974e-03 -2.72573298e-03 -9.28516220e-03 -7.36160949e-03
  2.21901760e-03  1.94147608e-04  1.76785910e-03 -9.99543932e-04
 -6.26182184e-04 -9.42498725e-03  8.82990658e-04 -1.03597045e-02
 -1.67066755e-03  7.32825976e-03  6.17367041e-04  7.40765175e-03
  9.44370113e-04 -1.09604109e-04 -3.74027714e-03  2.20791157e-03
  1.04705403e-02  6.58980012e-03]"
dont forget to submit your assignment by tonight,0,"['dont', 'forget', 'submit', 'assignment', 'tonight']","[ 0.00261731  0.0036326   0.00264463 -0.00239321  0.01222801 -0.00576893
  0.00598014  0.00542549 -0.00536784 -0.00629157 -0.00035243 -0.00322734
  0.00453482  0.00326388  0.01166573 -0.00212068  0.00301155  0.00534719
  0.00890275 -0.000404    0.01006016 -0.00528078  0.00229099  0.00222688
  0.00051633 -0.00221523  0.00409879  0.0020254   0.01083391  0.00040887
  0.00114914 -0.00097432 -0.00879639 -0.00636366  0.00378232  0.00783848
  0.00230247  0.00144089  0.00277688 -0.00250094  0.01097286 -0.00028979
  0.01479016  0.0055262   0.00254163  0.00595351 -0.00772918 -0.00421324
  0.00163128 -0.00187615]"
limited time offer buy one get one free order now,1,"['limited', 'time', 'offer', 'buy', 'one', 'get', 'one', 'free', 'order']","[ 0.00506478 -0.00385711  0.00228703  0.00110968 -0.00239855  0.0003896
  0.00944069  0.00754038  0.00071895  0.00635525 -0.00319852 -0.00757595
 -0.00298818  0.00235409 -0.00045836  0.00805216  0.00642644  0.00180214
  0.00482144  0.00114466 -0.00126333 -0.00082172  0.00481266  0.00211846
 -0.00059468  0.00483716  0.00157639  0.00066415  0.00418678 -0.00689629
 -0.01119184 -0.00586068  0.00444858 -0.00386526 -0.00158565  0.00185947
  0.00701599 -0.00735933 -0.00011663 -0.00158127  0.00697129  0.00105247
  0.00199434 -0.00064099  0.00280421  0.00594643  0.00223949 -0.00188587
 -0.00116064  0.00787385]"
meeting at  am tomorrow let me know if you can make it,0,"['meeting', 'tomorrow', 'let', 'know', 'make']","[-6.2852576e-03  2.1522946e-03  6.2168296e-04  1.4552070e-03
  2.1338644e-03 -8.6661493e-03 -1.3597456e-03  5.9286581e-04
 -1.9744877e-03  2.0154701e-03 -6.2107267e-03 -3.4021162e-03
 -3.4176174e-03 -2.5182460e-03  2.4911147e-04  1.0470862e-02
  1.3391483e-02  1.0176887e-02 -9.9922959e-03 -8.3373423e-04
  6.7311688e-03  9.4967652e-03  9.3739415e-03 -5.7965396e-03
  8.6634951e-03  7.9481686e-03 -3.7161713e-03 -8.8485330e-04
 -5.2787960e-03 -4.5962817e-05  1.7455753e-03  7.1577365e-03
  2.6677249e-03  1.5998259e-03  2.2177850e-03  3.5853060e-05
  2.4899889e-03 -6.4068829e-04  4.6860739e-03  8.6028669e-03
  6.4773234e-03 -6.5267561e-03 -1.3743183e-03  5.7353935e-04
  6.3461415e-03  3.1141751e-04 -2.5116678e-03 -2.5206446e-03
  4.3805726e-03  5.2093952e-03]"
